Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
F	A	18-Jan-96	21-May-97	CF220Ta	FADE
F	A	04-Mar-96	25-Oct-96	CF240Ta	FADE
F	A	18-Jan-96	29-May-98	CF310Ta	FADE
F	A	18-Jan-96	21-May-97	CF331Ta	FADE
F	A	18-Jan-96	29-May-98	CF800Ta	FADE
F	A	18-Jan-96	11-Jul-96	CF810Ta	FADE
F	A	18-Jan-96	29-Dec-97	CF830Ta	FADE
F	A	18-Jan-96	10-Sep-96	CF870Ta	FADE
F	A	04-Mar-96	29-May-98	CF931Ta	FADE
F	A	08-Apr-02	24-Jun-06	CH005Ka	DEAD
F	A	08-Apr-02	23-Jan-08	CH006Ka	DEAD
F	A	09-Apr-02	15-Feb-17	CH007Qa	DEAD
F	A	09-Apr-02	02-Jul-02	CH008Qa	DEAD
F	A	02-Dec-02	01-Sep-07	CH009Ka	DEAD
F	A	02-Dec-02	18-Apr-05	CH010Ka	FADE
F	A	12-Feb-03	18-Apr-05	CH012Qa	FADE
F	A	12-Feb-03	22-Apr-03	CH013Qa	FADE
F	A	12-Feb-03	04-Apr-07	CH014Qa	FADE
F	A	12-Feb-03	22-Apr-03	CH015Qa	FADE
F	A	23-Mar-03	18-Apr-05	CH020Ka	FADE
F	A	24-Mar-03	02-May-05	CH021Ka	DEAD
F	A	10-Dec-03	18-Apr-05	CH031Qa	FADE
F	A	13-Feb-04	14-Oct-08	CH035Qa	DEAD
F	A	24-Mar-04	04-Jul-13	CH036Qa	DEAD
F	A	24-Mar-04	17-May-08	CH037Qa	DEAD
F	A	24-Mar-04	29-May-07	CH038Qa	DEAD
F	A	04-Apr-05	04-Apr-07	CH040Qa	FADE
F	A	04-Apr-05	20-Jul-06	CH041Qa	FADE
F	A	04-Apr-05	20-Jul-06	CH042Qa	FADE
F	A	22-Dec-05	04-Apr-07	CH045Qa	FADE
F	A	22-Dec-05	03-Feb-07	CH046Qa	FADE
F	A	23-Mar-06	24-Oct-07	CH052Ka	DEAD
F	A	30-Jan-07	10-Jan-09	CH057Qa	FADE
F	A	30-Jan-07	04-Nov-08	CH058Qa	FADE
F	A	30-Jan-07	24-Jan-09	CH059Qa	FADE
F	A	30-Jan-07	07-Sep-08	CH060Qa	FADE
F	A	04-Apr-07	21-Jun-08	CH066Ka	DEAD
F	A	04-Apr-07	12-Feb-09	CH067Ka	FADE
F	A	04-Apr-07	04-Mar-09	CH068Qa	FADE
F	A	04-Apr-07	21-Mar-09	CH069Qa	FADE
F	A	04-Apr-07	07-Mar-09	CH070Qa	FADE
F	A	05-Apr-07	12-Feb-09	CH071Qa	FADE
F	A	05-Apr-07	18-May-07	CH072Qa	DEAD
F	A	05-Apr-07	20-Sep-08	CH073Qa	FADE
F	A	05-Apr-07	25-Feb-09	CH074Qa	FADE
F	A	05-Apr-07	14-Mar-09	CH075Qa	FADE
F	A	14-Mar-08	23-Feb-09	CH079Ka	DEAD
F	A	14-Mar-08	10-May-09	CH080Ka	DEAD
F	A	19-Dec-08	20-Mar-10	CH102Ka	FADE
F	A	19-Dec-08	07-Apr-11	CH103Ka	FADE
F	A	20-Dec-08	07-Apr-11	CH104Ka	FADE
F	A	10-Jan-09	03-Dec-09	CH105Qa	FADE
F	A	10-Jan-09	29-Mar-11	CH106Qa	FADE
F	A	16-Jan-09	30-Apr-10	CH107Qa	DEAD
F	A	24-Jan-09	14-Jul-10	CH108Qa	FADE
F	A	24-Jan-09	16-Aug-09	CH109Qa	DEAD
F	A	24-Jan-09	29-Mar-11	CH110Qa	FADE
F	A	24-Jan-09	29-Mar-11	CH111Qa	FADE
F	A	24-Jan-09	25-Dec-09	CH112Qa	FADE
F	A	24-Jan-09	29-Mar-11	CH113Qa	FADE
F	A	24-Jan-09	29-Mar-11	CH114Qa	FADE
F	A	12-Feb-09	05-Nov-10	CH116Ka	DEAD
F	A	12-Mar-10	10-Mar-11	CH125Qa	FADE
F	A	12-Mar-10	09-Mar-11	CH126Qa	FADE
F	A	19-Feb-11	23-Jul-13	CH136Qa	DEAD
F	A	20-Feb-11	31-Mar-20	CH137Qa	FADE
F	A	20-Feb-11	04-Jul-13	CH138Qa	DEAD
F	A	20-Feb-11	23-Mar-13	CH139Qa	FADE
F	A	20-Feb-11	10-May-13	CH140Qa	DEAD
F	A	20-Feb-11	01-Feb-12	CH141Qa	FADE
F	A	20-Feb-11	03-Jun-12	CH142Qa	FADE
F	A	20-Feb-11	11-Feb-15	CH143Qa	FADE
F	A	20-Feb-11	06-May-14	CH146Qa	DEAD
F	A	18-Mar-11	03-May-12	CH148Ka	DEAD
F	A	18-Mar-11	04-Dec-11	CH149Ka	DEAD
F	A	29-Mar-11	11-Feb-12	CH151Ka	DEAD
F	A	29-Mar-11	09-Jul-11	CH152Qa	DEAD
F	A	29-Mar-12	01-Mar-14	CH158Qa	DEAD
F	A	29-Mar-12	30-Oct-15	CH159Qa	DEAD
F	A	18-Jan-13	30-Mar-13	CH161Ka	FADE
F	A	09-Feb-13	15-Feb-16	CH163Qa	DEAD
F	A	09-Feb-13	15-Feb-14	CH164Qa	DEAD
F	A	09-Feb-13	15-Feb-14	CH165Qa	DEAD
F	A	09-Feb-13	24-May-15	CH166Qa	DEAD
F	A	09-Feb-13	27-Apr-13	CH167Qa	FADE
F	A	24-Mar-13	31-Mar-20	CH172Qa	FADE
