Sex,calfrstart_dat,agecl,rstart_dat,rend_dat,animal_id,mortcaus,herd,yrstart
F,,A,08-Apr-02,24-Jun-06,CH005Ka,DEAD,K,2002
F,,A,08-Apr-02,23-Jan-08,CH006Ka,DEAD,K,2002
F,,A,09-Apr-02,15-Feb-17,CH007Qa,DEAD,Q,2002
F,,A,09-Apr-02,02-Jul-02,CH008Qa,DEAD,Q,2002
F,,A,02-Dec-02,01-Sep-07,CH009Ka,DEAD,K,2002
F,,A,02-Dec-02,18-Apr-05,CH010Ka,FADE,K,2002
F,,A,12-Feb-03,18-Apr-05,CH012Qa,FADE,Q,2003
F,,A,12-Feb-03,22-Apr-03,CH013Qa,FADE,Q,2003
F,,A,12-Feb-03,04-Apr-07,CH014Qa,FADE,Q,2003
F,,A,12-Feb-03,22-Apr-03,CH015Qa,FADE,Q,2003
F,,A,23-Mar-03,18-Apr-05,CH020Ka,FADE,K,2003
F,,A,24-Mar-03,02-May-05,CH021Ka,DEAD,K,2003
F,,A,10-Dec-03,18-Apr-05,CH031Qa,FADE,Q,2003
F,,A,13-Feb-04,14-Oct-08,CH035Qa,DEAD,Q,2004
F,,A,24-Mar-04,04-Jul-13,CH036Qa,DEAD,Q,2004
F,,A,24-Mar-04,17-May-08,CH037Qa,DEAD,Q,2004
F,,A,24-Mar-04,29-May-07,CH038Qa,DEAD,Q,2004
F,,A,04-Apr-05,04-Apr-07,CH040Qa,FADE,Q,2005
F,,A,04-Apr-05,20-Jul-06,CH041Qa,FADE,Q,2005
F,,A,04-Apr-05,20-Jul-06,CH042Qa,FADE,Q,2005
F,,A,22-Dec-05,04-Apr-07,CH045Qa,FADE,Q,2005
F,,A,22-Dec-05,03-Feb-07,CH046Qa,FADE,Q,2005
F,,A,23-Mar-06,24-Oct-07,CH052Ka,DEAD,K,2006
F,,A,30-Jan-07,10-Jan-09,CH057Qa,FADE,Q,2007
F,,A,30-Jan-07,04-Nov-08,CH058Qa,FADE,Q,2007
F,,A,30-Jan-07,24-Jan-09,CH059Qa,FADE,Q,2007
F,,A,30-Jan-07,07-Sep-08,CH060Qa,FADE,Q,2007
F,,A,04-Apr-07,21-Jun-08,CH066Ka,DEAD,K,2007
F,,A,04-Apr-07,12-Feb-09,CH067Ka,FADE,K,2007
F,,A,04-Apr-07,04-Mar-09,CH068Qa,FADE,Q,2007
F,,A,04-Apr-07,21-Mar-09,CH069Qa,FADE,Q,2007
F,,A,04-Apr-07,07-Mar-09,CH070Qa,FADE,Q,2007
F,,A,05-Apr-07,12-Feb-09,CH071Qa,FADE,Q,2007
F,,A,05-Apr-07,18-May-07,CH072Qa,DEAD,Q,2007
F,,A,05-Apr-07,20-Sep-08,CH073Qa,FADE,Q,2007
F,,A,05-Apr-07,25-Feb-09,CH074Qa,FADE,Q,2007
F,,A,05-Apr-07,14-Mar-09,CH075Qa,FADE,Q,2007
F,,A,14-Mar-08,23-Feb-09,CH079Ka,DEAD,K,2008
F,,A,14-Mar-08,10-May-09,CH080Ka,DEAD,K,2008
F,,A,19-Dec-08,20-Mar-10,CH102Ka,FADE,K,2008
F,,A,19-Dec-08,07-Apr-11,CH103Ka,FADE,K,2008
