CollarActive,CalendarYr,CaptureSession,ObsNum,OldObsNum,ReCap,New to Pen ,WimsId,VetId,Age,Sex,CapDate,CollarType,ColSerial,ColFreq,WII_LtEar,WII_RtEar,Progesterone,PsPb,IdYr,Preg if prog >1.2 or PSPB > 0.21,Capt14,Capt15,Capt16,Capt17,Capt18,Capt19,Capt20,CalcDead,CalcColEnd,SeipId,SeipFreq,SeipSerial,Seip_LtEar,Seip_RtEar,PrevAtsColSer,PrevAtsColFreq,Notes
No,2011,1,1,2011-01,New,,C311K,NA,Ad,F,110318,Unk,30784,149.120,NA,NA,,,C311K-11,,P,,P,P,,P,W,,140327,DS147M,149.120,30784,No,No,,,
No,2012,1,1,2012-01,New,,C351K,NA,Ad,F,120227,Unk,37471,150.100,,,,,C351K-12,,,,P,,,,,2016-03-26,160316,DS155K,150.100,37471,No,Blue,,,was from Kennedy
No,2013,1,1,2013-01,New,,C314K,NA,Ad,F,130118,Unk,17089,151.130,NA,NA,,,C314K-13,,P,,P,,,,,2018-02-09,140327,DS162M,151.130,VHF17089,No,Aqua,,,
No,2013,1,2,2013-02,New,,C318S,NA,Ad,F,130118,Unk,17094,151.190,NA,NA,,,C318S-13,,P,,,,,,,2014-12-20,140327,DS160S,151.190,VHF17094,No,No,,,
No,2013,1,3,2013-03,New,,C334K,NA,Ad,F,110329,Unk,33156,149.170,NA,NA,,,C334K-11,,,P,,,,,,2017-01-30,150318,DS150M,149.170,33156,No,Pink,,,
No,2013,1,4,2013-04,New,,C998S,NA,Ad,F,130323,Unk,32302,148.505,NA,NA,,,C998S-13,,,,,,,,,2015-03-03,,DS169S,148.505,32302,Green,No,,,
No,2013,1,5,2013-05,New,,C352S,NA,Ad,F,130323,Unk,32303,148.524,NA,NA,,,C352S-13,,,,W,,,,,2017-01-30,160316,DS171S,148.524,32303,No,Yellow,,,
No,2013,1,6,2013-06,New,,C999S,NA,Ad,F,130323,Unk,32304,148.535,NA,NA,,,C999S-13,,,,,,,,,2014-09-11,,DS170S,148.535,32304,No,Blue,,,
No,2013,1,7,2013-07,New,,C337S,NA,Ad,F,130323,Unk,32305,148.544,NA,NA,,,C337S-13,,,P,W,,P,,,2018-10-03,150318,DS168S,148.544,32305,No,Orange,,,
No,2014,1,1,2014-01,Recap,,C311K,14-4954,Ad,F,140327,ATS,33170,149.364,Orange-2 ,No,3.99,,C311K-14,Y,P,,P,P,,P,W,,160316,,,,,,30784,149.120,
No,2014,1,2,2014-02,New,,C312K,14-4955,Ad,F,140327,ATS,33174,149.743,Green-4,Green-3,5.27,,C312K-14,Y,P,,P,,P,P,P,,160316,,,,,,,,
No,2014,1,3,2014-03,New,,C313K,14-4956,Ad,F,140327,ATS,33169,149.222,No,Orange-1,4.17,,C313K-14,Y,P,P,,W,P,,P,,150318,,,,,,,,
No,2014,1,4,2014-04,Recap,,C314K,14-4957,Ad,F,140327,ATS,33176,149.763,Orange-6,Aqua-6,4.16,,C314K-14,Y,P,,P,,,,,2018-02-09,160316,,,,,,17089,151.130,
