Column Num,Animal Id,Capture Date,Session,Survey,Study Area,Time Start,Time End,Surveyors,General Location,Map Standard,Latitude,Longitude,Zone,Easting,Northing,Spp,Obs #,Sex,Age Class,Age,Age is Estimate,Reproductive Condition,Young,Age of Young,Capture Session Label,Capture Mechanism,Capture Comments,Marking Method,Marking_Type,Marking_Manufacturer,Marking_Serial_Number,Current Mark Number,Current Mark Color,Current Mark Ear,Previous Mark Number,Previous Mark Color,Previous Mark Ear,Current Radio Frequency,Previous Radio Frequency,Mother's Id,Mother's Current Radio Frequency,Young's Id,General Marking Comments,Handling Label,Total Length,Total Length Comment,Shoulder Height,Shoulder Height Comment,Chest Girth,Chest Girth Comment,Neck Girth,Neck Girth Comment,Hind Foot Length,Hind Foot Length Comment,Hind Hoof Length,Hind Hoof Length Comment,Hind Hoof Width,Hind Hoof Width Comment,Weight,Weight Comment,Tail Length,Tail Length Comment,Front Pad Length,Front Pad Length Comment,Front Pad Width,Front Pad Width Comment,Hind Pad Length,Hind Pad Length Comment,Hind Pad Width,Hind Pad Width Comment,Right Horn Length,Right Horn Length Comment,Left Horn Length,Left Horn Length Comment,Skull Length,Skull Length Comment,Zygo Length,Zygo Length Comment,Canine Length,Canine Length Comment,Tooth Wear,Tooth Wear Comments,Vulva Condition,Vulva Condition Comments,Evidence of Nursing,Evidence of Nursing Comments,Pelage Color,Pelage Color Comments,Pelage Condition,Pelage Condition Comments,Scarring,Scarring Comments,Other Comments,Tooth Sample,Tooth Sample - Comments,Blood  Sample,Blood Sample - Comments,Fecal Sample,Fecal Sample - Comments,Parasites Sample,Parasites Sample - Comments,Hair Sample,Hair Sample - Comments,Skin Sample,Skin Sample - Comments,Other Collected Sample,Other Collected Sample - Comments,General Comments
2,M002W,1998-11-24,24,1998 Animal Capture-Radio Collaring,Wolverine,1235,1402,"Scott McNay, Helen Schwantji, Glen Watts",Omineca R. East Germansen,Unk,55 48.50,124 36.00,NA,NA,NA,M-ALAL,,F,Adult,,Estimate,Unk,0,,Wol98Nov,DA,,CT,GPS,Televilt,TP-002-GPS,,,,NA,NA,NA,151.37,,,,,Originally for Grizzly,Wol98Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,NA,,,,,,,,,,,,,,,NA
3,M016F,1998-11-24,24,1998 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Scott McNay, Helen Schwantji, Glen Watts",Omineca R. East Germansen,Unk,55 48.50,124 36.00,NA,NA,NA,M-ALAL,2,F,Adult,Unk,Actual,Unk,Unk,NA,WOL98NOV,DA,No,CT,,,,No,No,No,NA,NA,NA,,,,,,"Moose #3, collar was originally for grizz",WOL98NOV,Unk,,Unk,,Unk,,Unk,,Unk,,Unk,,Unk,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,M001W,1998-11-25,24,1998 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Scott McNay, Helen Schwantji, Glen Watts",Toe @ confluence of Donna & Manson Ck,Unk,55 34.00,124 09.00,NA,NA,NA,M-ALAL,3,F,Adult,Unk,Actual,Unk,Unk,NA,WOL98NOV,DA,No,CT,GPS,Televilt,TP-001-GPS,No,No,No,NA,NA,NA,151.36,,Unk,,,"Moose #4, collar was originally for grizz - Collar slipped after being activated for a few days",WOL98NOV,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,M003W,1998-11-25,24,1998 Animal Capture-Radio Collaring,Wolverine,Unk,Unk,"Scott McNay, Helen Schwantji, Glen Watts",Toe @ confluence of Donna & Manson Ck,Unk,55 34.00,124 09.00,NA,NA,NA,M-ALAL,4,F,Adult,Unk,Actual,Unk,Unk,NA,WOL98NOV,DA,No,CT,GPS,Televilt,TP-004-GPS,No,No,No,NA,NA,NA,151.39,,Unk,,,"Moose #1, collar was originally for grizz",WOL98NOV,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,C073W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,900,908,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine-Top of Wolverine Range,Unk,55 43.81,124 21.02,NA,NA,NA,M-RATA,1,F,Adult,4-6 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811019C-VHF,2,Red,Unk,NA,NA,NA,149.69,,Unk,,,No,WOL99MAR,190.5,NA,116.8,NA,106.7,NA,50.8,NA,Unk,NA,10.2,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 6 animals,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Group of 6 animals
7,C038W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,940,946,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine-Top of Wolverine Range,Unk,55 45.58,124 20.03,NA,NA,NA,M-RATA,2,F,Adult,<4 Yrs,Estimate,Unk,1,10 Mths,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811020C-VHF,5,Red,Unk,Unk,Unk,Unk,149.78,151.9,Unk,,C075W,No,WOL99MAR,195.6,NA,121.9,NA,121.9,NA,53.3,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Min,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,"Cow and Calf, replaced GPS collar (151.900) with current ",No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,HAIR,"Cow and Calf, replaced GPS collar (151.900) with current "
8,C070W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1020,1029,"Rick Erasmus, Barry Scott, Clay Wilson",Alpine-Top of Wolverine Range,Unk,55 47.48,124 20.96,NA,NA,NA,M-RATA,3,F,Adult,4-6 Yrs,Estimate,Unk,0,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811016C-VHF,13,Red,Unk,NA,NA,NA,149.61,,Unk,,"C090W, C146W, C197W",No,WOL99MAR,203.2,NA,129.5,NA,132.1,NA,61,NA,Unk,NA,12.7,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,Unk,No,Unk,No,Typical,No,Unk,No,Unk,No,Group of 7 animals,No,No,Yes,* 2 blood samples ID 149.610,No,No,No,No,No,No,No,No,No,NO,Group of 7 animals
9,M038W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1100,1120,"Rick Erasmus, Barry Scott, Clay Wilson",Omineca R / Blue Lk Area,Unk,55 48.86,124 30.30,NA,NA,NA,M-ALAL,4,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811053M-VHF,23,Red,Unk,NA,NA,NA,149.87,,Unk,,,No,WOL99MAR,299.7,NA,200.7,NA,182.9,NA,96.5,NA,Unk,NA,17.8,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unk,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of 1 animal, Good shape and big",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Group of 1 animal, Good shape and big"
10,M032W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1204,1218,"Rick Erasmus, Barry Scott, Clay Wilson",Meadow- Blue Lake,Unk,55 52.26,124 29.98,NA,NA,NA,M-ALAL,5,M,Adult,4-6 Yrs,Estimate,NA,NA,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811047M-VHF,18,Red,Unk,NA,NA,NA,149.81,,Unk,,,No,WOL99MAR,304.8,NA,177.8,NA,182.9,NA,96.5,NA,Unk,NA,17.8,NA,Unk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mod,No,NA,NA,NA,NA,Typical,No,Unk,No,Unk,No,"Group of 1 animal, Blind in right eye",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Group of 1 animal, Blind in right eye"
11,W021W,1999-03-02,4,1999 Animal Capture-Radio Collaring,Wolverine,1400,Unk,"Rick Erasmus, Barry Scott, Clay Wilson",In Timber - Wolverine Lk,Unk,55 43.53,124 29.91,NA,NA,NA,M-CALU,6,F,Adult,4-6 Yrs,Estimate,Unk,Unk,NA,WOL99MAR,NG,No,CT,VHF,Lotek,LK-T9811075W-VHF,7,Red,Unk,NA,NA,NA,149.91,,Unk,,,No,WOL99MAR,121.9,NA,Unk,NA,66,NA,45.7,NA,7.6,NA,NA,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,UNK,NA,Unk,NA,NA,NA,NA,NA,Unk,NA,Unk,NA,Unk,NA,Min,No,Unk,No,Unk,No,Black,No,Unk,No,Unk,No,"Group of 7 - 1 Blue, 1 Grey, 5 Black",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Group of 7 - 1 Blue, 1 Grey, 5 Black"
