id,loc,year,penned,free
CN311K,P,2014,2014-03-27 UTC--2014-07-05 UTC,2014-07-05 UTC--2015-03-17 UTC
CN311K,W,2015,2015-03-18 UTC--2015-07-24 UTC,2015-07-24 UTC--2016-03-15 UTC
CN311K,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN311K,P,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN311K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN311K,P,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN311K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN311K,P,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN351K,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN351K,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN351K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN351K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN351K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN351K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN314K,P,2014,2014-03-27 UTC--2014-07-05 UTC,2014-07-05 UTC--2015-03-17 UTC
CN314K,W,2015,2015-03-18 UTC--2015-07-24 UTC,2015-07-24 UTC--2016-03-15 UTC
CN314K,P,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN314K,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN314K,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN314K,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN314K,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN314K,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN318S,P,2014,2014-03-27 UTC--2014-07-05 UTC,2014-07-05 UTC--2015-03-17 UTC
CN318S,W,2015,2015-03-18 UTC--2015-07-24 UTC,2015-07-24 UTC--2016-03-15 UTC
CN318S,W,2016,2016-03-16 UTC--2016-07-15 UTC,2016-07-15 UTC--2017-03-22 UTC
CN318S,W,2017,2017-03-23 UTC--2017-07-27 UTC,2017-07-27 UTC--2018-03-12 UTC
CN318S,W,2018,2018-03-13 UTC--2018-07-31 UTC,2018-07-31 UTC--2019-03-11 UTC
CN318S,W,2019,2019-03-12 UTC--2019-07-29 UTC,2019-07-29 UTC--2020-03-10 UTC
CN318S,W,2020,2020-03-11 UTC--2020-08-05 UTC,2020-08-05 UTC--2021-03-14 UTC
CN318S,W,2021,2021-03-15 UTC--2021-08-05 UTC,2021-08-05 UTC--NA
CN334K,W,2014,2014-03-27 UTC--2014-07-05 UTC,2014-07-05 UTC--2015-03-17 UTC
CN334K,P,2015,2015-03-18 UTC--2015-07-24 UTC,2015-07-24 UTC--2016-03-15 UTC
